service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11051,0,0,0,0,0,1,1,20170501,20171105
11048,0,0,0,0,0,0,1,20170821,20171105
11049,0,0,0,0,0,1,0,20170722,20170826
11050,0,0,0,0,0,1,0,20170506,20171104
11058,1,0,0,0,0,1,1,20170501,20170521
10199,1,1,1,1,1,0,0,20170502,20171103
11056,1,1,0,0,0,0,1,20170501,20170522
11057,1,0,0,0,0,0,0,20171002,20171030
10934,0,0,0,0,0,1,0,20170506,20170520
9698,0,0,0,0,0,0,1,20170514,20170521
11010,1,0,0,0,0,0,1,20170501,20170507
11012,1,1,1,1,1,1,1,20170502,20171105
10996,0,0,0,0,0,1,0,20170506,20170520
11003,1,1,1,1,1,1,1,20170501,20171105
11020,1,1,1,1,1,1,1,20170501,20171105
11019,0,0,0,0,0,1,0,20170506,20170520
11009,0,0,0,0,0,1,0,20170612,20171104
11016,0,0,0,0,0,1,1,20170501,20171105
11017,1,1,1,1,1,1,1,20170502,20171105
11018,0,0,0,0,0,1,1,20170501,20170521
11013,1,1,1,1,1,1,1,20170502,20171105
11022,1,1,1,1,1,0,0,20170703,20170825
11025,1,0,0,0,0,0,1,20170501,20170521
11023,0,0,0,0,0,0,1,20170528,20171105
11024,0,0,0,0,0,1,0,20170527,20171104
11021,1,1,1,1,1,0,0,20170502,20170716
11000,1,1,1,1,1,1,1,20170501,20171105
11004,0,0,0,0,0,1,1,20170506,20170521
11006,0,0,0,0,0,1,1,20170501,20171105
11005,0,0,0,0,0,1,1,20170501,20171105
10998,0,0,0,0,0,1,1,20170501,20171105
10999,0,0,0,0,0,1,1,20170501,20171105
10997,1,1,1,1,1,0,0,20170502,20170716
11002,1,1,1,1,1,1,1,20170501,20171105
11001,0,0,0,0,0,1,1,20170501,20171105
11007,0,0,0,0,0,1,1,20170828,20171105
11011,0,0,0,0,0,1,1,20170506,20171105
11015,0,0,0,0,0,1,1,20170828,20171105
11014,0,0,0,0,0,1,1,20170501,20171105
11008,0,0,0,0,0,1,1,20170522,20171105
10912,0,0,0,0,0,1,0,20170527,20171008
10911,1,1,1,1,1,1,1,20170502,20171105
10913,1,1,1,1,1,1,0,20170502,20171104
10900,0,0,0,0,0,1,1,20170525,20171105
10908,0,0,0,0,0,1,1,20170724,20171105
10909,1,1,1,1,1,1,1,20170502,20171105
10910,0,0,0,0,0,1,1,20170525,20171105
10901,1,1,1,1,1,1,1,20170502,20171105
10917,1,1,1,1,1,1,1,20170525,20171105
10899,1,1,1,1,1,0,0,20170515,20170604
10915,0,0,0,0,0,1,1,20170525,20171008
10914,0,0,0,0,0,1,1,20170525,20171008
10916,1,1,1,1,1,1,1,20170502,20171105
10897,1,0,0,0,0,0,1,20170731,20171001
10898,1,1,1,1,1,1,1,20170528,20170626
9499,1,1,1,1,1,0,0,20170828,20171103
10905,0,0,0,0,0,1,1,20170603,20170625
10904,1,1,1,1,1,0,0,20170502,20170702
10903,0,0,0,0,0,1,1,20170525,20170701
10907,1,0,0,0,0,0,1,20170724,20170917
10906,0,0,0,0,0,1,1,20170626,20171008
11067,0,1,1,1,1,1,0,20170817,20170826
